Fluor,Target,Content,Replicate,Sample,Cq,Starting Quantity (SQ),Call,Fish density,Distance from source
FAM,Chinook S COI,Unkn-1,1,DS10,47.8505101916764,8.32586672671705E-19,(+) Positive,10,
FAM,Chinook S COI,Unkn-1,1,DS10,47.6818956510148,1.0990334177176E-18,(+) Positive,10,
FAM,Chinook S COI,Unkn-1,1,DS10,60.9221668798631,3.73667893041622E-28,,10,
FAM,Chinook S COI,Unkn,,DS5,44.2901775395154,2.92774211590292E-16,(+) Positive,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,0M 5FISH,NaN,NaN,,5,0
FAM,Chinook S COI,Unkn,,0M 5FISH,NaN,NaN,,5,0
FAM,Chinook S COI,Unkn,,0M 5FISH,39.9450567998401,3.748541129342E-13,(+) Positive,5,0
FAM,Chinook S COI,Unkn,,0M 10FISH,39.8441193221187,4.42635023628259E-13,(+) Positive,10,0
FAM,Chinook S COI,Unkn,,0M 10FISH,NaN,NaN,,10,0
FAM,Chinook S COI,Unkn,,0M 10FISH,NaN,NaN,,10,0
FAM,Chinook S COI,Unkn-1,1,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-1,1,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-1,1,DS10,39.0718727034886,1.5787126153969E-12,(+) Positive,10,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,44.4156516168511,2.38123605063704E-16,(+) Positive,5,
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,NaN,,10,5
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,NaN,,10,5
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,NaN,,10,5
FAM,Chinook S COI,Unkn-2,2,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-2,2,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-2,2,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,10M FISH,NaN,NaN,,10
FAM,Chinook S COI,Unkn,,10M FISH,NaN,NaN,,10
FAM,Chinook S COI,Unkn,,10M FISH,NaN,NaN,,10
FAM,Chinook S COI,Unkn-2,2,MI10,38.7508070922185,2.6785944909572E-12,(+) Positive,10,
FAM,Chinook S COI,Unkn-2,2,MI10,45.1198707731719,7.46781712788679E-17,(+) Positive,10,
FAM,Chinook S COI,Unkn-2,2,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn-3,3,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-3,3,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-3,3,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,100M 5FISH,38.5172003304593,3.93519583954273E-12,(+) Positive,5,100
FAM,Chinook S COI,Unkn,,100M 5FISH,NaN,NaN,,5,100
FAM,Chinook S COI,Unkn,,100M 5FISH,38.7779158388259,2.56165519914528E-12,(+) Positive,5,100
FAM,Chinook S COI,Unkn,,100M 10FISH,39.812792121037,4.66067499880083E-13,(+) Positive,10,100
FAM,Chinook S COI,Unkn,,100M 10FISH,39.7683437527918,5.01458750825665E-13,(+) Positive,10,100
FAM,Chinook S COI,Unkn,,100M 10FISH,37.8072462005684,1.26670761353329E-11,(+) Positive,10,100
FAM,Chinook S COI,Unkn-3,3,US10,43.0356452187455,2.31040151968866E-15,(+) Positive,10,
FAM,Chinook S COI,Unkn-3,3,US10,40.0762219243295,3.0203833412264E-13,(+) Positive,10,
FAM,Chinook S COI,Unkn-3,3,US10,38.5316369218657,3.84275149267756E-12,(+) Positive,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Neg Ctrl,,C1,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,C1,44.7001544889188,1.49054707349189E-16,
FAM,Chinook S COI,Neg Ctrl,,C2,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,C2,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,C3,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,C3,NaN,NaN,
FAM,Chinook S COI,Unkn-4,4,OUT10,39.1187485380523,1.46143912061453E-12,(+) Positive,10,
FAM,Chinook S COI,Unkn-4,4,OUT10,42.3402120830275,7.26127830763563E-15,(+) Positive,10,
FAM,Chinook S COI,Unkn-4,4,OUT10,42.7110941737514,3.94261068232897E-15,(+) Positive,10,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Neg Ctrl,,C4,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,C4,NaN,NaN,
FAM,Chinook S COI,Unkn-4,4,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-4,4,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn-4,4,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT5,45.4483675883499,4.34785948544088E-17,(+) Positive,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Neg Ctrl,,WATER BLANK,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,BLANK,NaN,NaN,
FAM,Chinook S COI,Unkn,,DS10,49.2588164807903,2.18529833847378E-13,,10,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,0M 5FISH,NaN,NaN,,5,0
FAM,Chinook S COI,Unkn,,100M 5FISH,46.3535364037823,3.85609568083241E-12,(+) Positive,5,100
FAM,Chinook S COI,Unkn,,10M 10FISH,,NaN,NaN,10,10
FAM,Chinook S COI,Neg Ctrl,,C1,NaN,NaN,
FAM,Chinook S COI,Unkn,,DS10,44.854792184258,1.6953108561508E-11,(+) Positive,10,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,0M 5FISH,NaN,NaN,,5,0
FAM,Chinook S COI,Unkn,,100M 5FISH,NaN,NaN,,5,100
FAM,Chinook S COI,Unkn,,10M 10FISH,,NaN,NaN,10,10
FAM,Chinook S COI,Neg Ctrl,,C1,44.5394130556428,2.31513599042078E-11,
FAM,Chinook S COI,Unkn,,MI10,52.1889691758924,1.20837293260224E-14,(+) Positive,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Neg Ctrl,,C1,NaN,NaN,
FAM,Chinook S COI,Unkn,,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,0M 10FISH,60.6871589350076,2.72698163864855E-18,(+) Positive,10,0
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,0M 10FISH,NaN,NaN,,10,0
FAM,Chinook S COI,Unkn,,100M 10FISH,,NaN,NaN,10,100
FAM,Chinook S COI,Unkn,,US10,40.3076635259075,1.51493191648289E-09,(+) Positive,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,5M 10FISH,46.6360085082288,2.91702956825711E-12,(+) Positive,10,5
FAM,Chinook S COI,Unkn,,100M 10FISH,,NaN,NaN,10,100
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,,NaN,10,5
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,DS10,45.610294454135,1.53160091941498E-10,(+) Positive,10,
FAM,Chinook S COI,Unkn,,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C1,NaN,NaN,
FAM,Chinook S COI,Unkn,,0M 10FISH,NaN,NaN,,10,0
FAM,Chinook S COI,Unkn,,0M 10FISH,38.171674077664,4.88934152090207E-08,(+) Positive,10,0
FAM,Chinook S COI,Unkn,,0M 10FISH,NaN,NaN,,10,0
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,,NaN,10,5
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,,NaN,10,5
FAM,Chinook S COI,Unkn,,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,DS10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,DS10,37.3292890939146,9.39349448459387E-08,(+) Positive,10,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,DS5,38.3714316481905,4.18798247414634E-08,(+) Positive,5,
FAM,Chinook S COI,Unkn,,C1,NaN,NaN,
FAM,Chinook S COI,Unkn,,5M 10FISH,NaN,NaN,,10,5
FAM,Chinook S COI,Unkn,,10M 10FISH,,NaN,NaN,10,10
FAM,Chinook S COI,Unkn,,10M 10FISH,,NaN,NaN,10,10
FAM,Chinook S COI,Unkn,,10M 10FISH,,NaN,NaN,10,10
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,MI10,43.0308907265861,1.13100585046274E-09,(+) Positive,10,
FAM,Chinook S COI,Unkn,,MI10,60.4580420251813,1.53767503618584E-15,,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C1,NaN,NaN,
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,20M 10FISH,,NaN,NaN,10,20
FAM,Chinook S COI,Unkn,,100M 10FISH,,NaN,NaN,10,100
FAM,Chinook S COI,Unkn,,100M 10FISH,38.0845435529878,5.23096258919445E-08,(+) Positive,10,100
FAM,Chinook S COI,Unkn,,100M 10FISH,NaN,NaN,,10,100
FAM,Chinook S COI,Unkn,,MI10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,MI10,42.9310555868366,1.22200481725413E-09,(+) Positive,10,
FAM,,Unkn,,MI10,59.3047091943947,3.75939104980835E-15,,10,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,MI5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C2,NaN,NaN,
FAM,Chinook S COI,Unkn,,0M 5FISH,38.0612987446912,5.32606724084876E-08,(+) Positive,5,0
FAM,Chinook S COI,Unkn,,0M 5FISH,NaN,NaN,,5,0
FAM,Chinook S COI,Unkn,,0M 5FISH,38.1285495721972,5.05554079787878E-08,(+) Positive,5,0
FAM,Chinook S COI,Unkn,,5M 5FISH,60.6571484360184,1.31776585143446E-15,,5,5
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,US10,44.2743712182056,4.31384956693445E-10,(+) Positive,10,
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C2,53.9638880031183,2.36063194805824E-13,
FAM,Chinook S COI,Unkn,,C4,NaN,NaN,
FAM,Chinook S COI,Unkn,,5M 5FISH,NaN,NaN,,5,5
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,10M 5FISH,NaN,NaN,,5,10
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,US5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C2,42.67676816832,1.48824737992708E-09,(+) Positive
FAM,Chinook S COI,Unkn,,C4,NaN,NaN,
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,20M 5FISH,31.199877983937,1.08693966270913E-05,(+) Positive,5,20
FAM,Chinook S COI,Unkn,,20M 5FISH,NaN,NaN,,5,20
FAM,Chinook S COI,Unkn,,100M 5FISH,36.1953111559531,2.26237491801469E-07,(+) Positive,5,100
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C3,NaN,NaN,
FAM,Chinook S COI,Unkn,,C4,NaN,NaN,
FAM,Chinook S COI,Unkn,,100M 5FISH,NaN,NaN,,5,100
FAM,Chinook S COI,Unkn,,100M 5FISH,38.3251246240556,4.34103662969766E-08,(+) Positive,5,100
FAM,Chinook S COI,Neg Ctrl,,blank,NaN,NaN,
FAM,Chinook S COI,Neg Ctrl,,blank,NaN,NaN,
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT10,NaN,NaN,,10,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,OUT5,43.3136521725771,9.08400302535452E-10,(+) Positive,5,
FAM,Chinook S COI,Unkn,,OUT5,NaN,NaN,,5,
FAM,Chinook S COI,Unkn,,C3,41.8261742975187,2.87750006094861E-09,(+) Positive
FAM,Chinook S COI,Unkn,,C3,NaN,NaN,
